,work_year,Continent,Country,Longitude,Latitude,company_location,company_size,employee_residence,job_title,employment_type,experience_level,salary_currency,salary_in_usd,salary_in_usd_pro_month,salary_in_usd_pro_week,salary_in_usd_pro_day,remote_ratio
0,2024,North America,United States,-95.7129,37.0902,US,M,US,Business Intelligence Engineer,FT,SE,USD,175000,14583.333333333334,3365.3846153846152,479.45205479452056,0
1,2024,North America,United States,-95.7129,37.0902,US,M,US,Business Intelligence Engineer,FT,SE,USD,80000,6666.666666666667,1538.4615384615386,219.17808219178082,0
2,2024,North America,United States,-95.7129,37.0902,US,M,US,Business Intelligence Engineer,FT,SE,USD,178200,14850.0,3426.923076923077,488.2191780821918,0
3,2024,North America,United States,-95.7129,37.0902,US,M,US,Business Intelligence Engineer,FT,SE,USD,74800,6233.333333333333,1438.4615384615386,204.93150684931507,0
4,2024,North America,United States,-95.7129,37.0902,US,M,US,Data Scientist,FT,SE,USD,238600,19883.333333333332,4588.461538461538,653.6986301369863,0
5,2024,North America,United States,-95.7129,37.0902,US,M,US,Data Scientist,FT,SE,USD,112000,9333.333333333334,2153.846153846154,306.8493150684931,0
6,2024,North America,United States,-95.7129,37.0902,US,M,US,Data Scientist,FT,SE,USD,208300,17358.333333333332,4005.769230769231,570.6849315068494,0
7,2024,North America,United States,-95.7129,37.0902,US,M,US,Data Scientist,FT,SE,USD,130100,10841.666666666666,2501.923076923077,356.43835616438355,0
8,2024,North America,United States,-95.7129,37.0902,US,M,US,Data Scientist,FT,EX,USD,145500,12125.0,2798.076923076923,398.63013698630135,100
9,2024,North America,United States,-95.7129,37.0902,US,M,US,Data Scientist,FT,EX,USD,100000,8333.333333333334,1923.076923076923,273.972602739726,100
10,2024,North America,United States,-95.7129,37.0902,US,M,US,Data Scientist,FT,MI,USD,229900,19158.333333333332,4421.153846153846,629.8630136986301,0
11,2024,North America,United States,-95.7129,37.0902,US,M,US,Data Scientist,FT,MI,USD,201400,16783.333333333332,3873.076923076923,551.7808219178082,0
12,2024,North America,United States,-95.7129,37.0902,US,M,US,Data Scientist,FT,SE,USD,238400,19866.666666666668,4584.615384615385,653.1506849315068,0
13,2024,North America,United States,-95.7129,37.0902,US,M,US,Data Scientist,FT,SE,USD,140300,11691.666666666666,2698.076923076923,384.3835616438356,0
14,2024,North America,United States,-95.7129,37.0902,US,M,US,Data Scientist,FT,MI,USD,145000,12083.333333333334,2788.4615384615386,397.26027397260276,0
15,2024,North America,United States,-95.7129,37.0902,US,M,US,Data Scientist,FT,MI,USD,135000,11250.0,2596.153846153846,369.86301369863014,0
16,2024,North America,United States,-95.7129,37.0902,US,M,US,Data Scientist,FT,MI,USD,150000,12500.0,2884.6153846153848,410.958904109589,0
17,2024,North America,United States,-95.7129,37.0902,US,M,US,Data Scientist,FT,MI,USD,120000,10000.0,2307.6923076923076,328.7671232876712,0
18,2024,North America,Canada,-106.3468,56.1304,CA,M,CA,Data Operations Analyst,FT,EN,USD,60000,5000.0,1153.8461538461538,164.3835616438356,0
19,2024,North America,Canada,-106.3468,56.1304,CA,M,CA,Data Operations Analyst,FT,EN,USD,45000,3750.0,865.3846153846154,123.28767123287672,0
20,2024,North America,United States,-95.7129,37.0902,US,M,US,Frontend Engineer,FT,SE,USD,210000,17500.0,4038.4615384615386,575.3424657534247,100
21,2024,North America,United States,-95.7129,37.0902,US,M,US,Frontend Engineer,FT,SE,USD,135000,11250.0,2596.153846153846,369.86301369863014,100
22,2024,North America,United States,-95.7129,37.0902,US,M,US,Software Engineer,FT,SE,USD,314400,26200.0,6046.153846153846,861.3698630136986,0
23,2024,North America,United States,-95.7129,37.0902,US,M,US,Software Engineer,FT,SE,USD,161600,13466.666666666666,3107.6923076923076,442.73972602739724,0
24,2024,North America,United States,-95.7129,37.0902,US,M,US,Software Engineer,FT,SE,USD,334800,27900.0,6438.461538461538,917.2602739726027,0
25,2024,North America,United States,-95.7129,37.0902,US,M,US,Software Engineer,FT,SE,USD,225000,18750.0,4326.923076923077,616.4383561643835,0
26,2024,North America,United States,-95.7129,37.0902,US,M,US,AI Engineer,FT,MI,USD,208800,17400.0,4015.3846153846152,572.054794520548,0
27,2024,North America,United States,-95.7129,37.0902,US,M,US,AI Engineer,FT,MI,USD,98300,8191.666666666667,1890.3846153846155,269.3150684931507,0
28,2024,North America,United States,-95.7129,37.0902,US,M,US,AI Engineer,FT,SE,USD,250200,20850.0,4811.538461538462,685.4794520547945,0
29,2024,North America,United States,-95.7129,37.0902,US,M,US,AI Engineer,FT,SE,USD,117200,9766.666666666666,2253.846153846154,321.09589041095893,0
30,2024,North America,United States,-95.7129,37.0902,US,M,US,AI Engineer,FT,SE,USD,294000,24500.0,5653.846153846154,805.4794520547945,0
31,2024,North America,United States,-95.7129,37.0902,US,M,US,AI Engineer,FT,SE,USD,137600,11466.666666666666,2646.153846153846,376.986301369863,0
32,2024,North America,United States,-95.7129,37.0902,US,M,US,Analytics Engineer,FT,MI,USD,160800,13400.0,3092.3076923076924,440.54794520547944,0
33,2024,North America,United States,-95.7129,37.0902,US,M,US,Analytics Engineer,FT,MI,USD,120890,10074.166666666666,2324.8076923076924,331.2054794520548,0
34,2024,North America,United States,-95.7129,37.0902,US,M,US,Data Engineer,FT,SE,USD,196700,16391.666666666668,3782.6923076923076,538.9041095890411,0
35,2024,North America,United States,-95.7129,37.0902,US,M,US,Data Engineer,FT,SE,USD,122900,10241.666666666666,2363.4615384615386,336.71232876712327,0
36,2024,North America,United States,-95.7129,37.0902,US,M,US,Data Engineer,FT,SE,USD,215000,17916.666666666668,4134.615384615385,589.0410958904109,0
37,2024,North America,United States,-95.7129,37.0902,US,M,US,Data Engineer,FT,SE,USD,150000,12500.0,2884.6153846153848,410.958904109589,0
38,2024,North America,Canada,-106.3468,56.1304,CA,M,CA,Data Analyst,FT,SE,USD,154000,12833.333333333334,2961.5384615384614,421.9178082191781,100
39,2024,North America,Canada,-106.3468,56.1304,CA,M,CA,Data Analyst,FT,SE,USD,102000,8500.0,1961.5384615384614,279.45205479452056,100
40,2024,North America,United States,-95.7129,37.0902,US,M,US,Data Analytics Specialist,FT,EN,USD,116500,9708.333333333334,2240.3846153846152,319.17808219178085,0
41,2024,North America,United States,-95.7129,37.0902,US,M,US,Data Analytics Specialist,FT,EN,USD,116500,9708.333333333334,2240.3846153846152,319.17808219178085,0
42,2024,North America,United States,-95.7129,37.0902,US,M,US,Machine Learning Scientist,FT,MI,USD,107200,8933.333333333334,2061.5384615384614,293.6986301369863,0
43,2024,North America,United States,-95.7129,37.0902,US,M,US,Machine Learning Scientist,FT,MI,USD,107200,8933.333333333334,2061.5384615384614,293.6986301369863,0
44,2024,North America,United States,-95.7129,37.0902,US,M,US,Machine Learning Engineer,FT,SE,USD,229900,19158.333333333332,4421.153846153846,629.8630136986301,0
45,2024,North America,United States,-95.7129,37.0902,US,M,US,Machine Learning Engineer,FT,SE,USD,201400,16783.333333333332,3873.076923076923,551.7808219178082,0
46,2024,North America,United States,-95.7129,37.0902,US,M,US,Machine Learning Engineer,FT,SE,USD,300200,25016.666666666668,5773.076923076923,822.4657534246576,0
47,2024,North America,United States,-95.7129,37.0902,US,M,US,Machine Learning Engineer,FT,SE,USD,170700,14225.0,3282.6923076923076,467.67123287671234,0
48,2024,North America,United States,-95.7129,37.0902,US,M,US,Software Engineer,FT,SE,USD,314400,26200.0,6046.153846153846,861.3698630136986,0
49,2024,North America,United States,-95.7129,37.0902,US,M,US,Software Engineer,FT,SE,USD,161600,13466.666666666666,3107.6923076923076,442.73972602739724,0
50,2024,North America,United States,-95.7129,37.0902,US,M,US,Data Product Owner,FT,MI,USD,156000,13000.0,3000.0,427.3972602739726,0
51,2024,North America,United States,-95.7129,37.0902,US,M,US,Data Product Owner,FT,MI,USD,97000,8083.333333333333,1865.3846153846155,265.75342465753425,0
52,2024,North America,United States,-95.7129,37.0902,US,M,US,Data Specialist,FT,SE,USD,139200,11600.0,2676.923076923077,381.36986301369865,0
53,2024,North America,United States,-95.7129,37.0902,US,M,US,Data Specialist,FT,SE,USD,87100,7258.333333333333,1675.0,238.63013698630138,0
54,2024,North America,United States,-95.7129,37.0902,US,M,US,Software Engineer,FT,MI,USD,208800,17400.0,4015.3846153846152,572.054794520548,0
55,2024,North America,United States,-95.7129,37.0902,US,M,US,Software Engineer,FT,MI,USD,98300,8191.666666666667,1890.3846153846155,269.3150684931507,0
56,2024,North America,United States,-95.7129,37.0902,US,M,US,Software Engineer,FT,SE,USD,250200,20850.0,4811.538461538462,685.4794520547945,0
57,2024,North America,United States,-95.7129,37.0902,US,M,US,Software Engineer,FT,SE,USD,117200,9766.666666666666,2253.846153846154,321.09589041095893,0
58,2024,North America,United States,-95.7129,37.0902,US,M,US,Software Engineer,FT,MI,USD,208300,17358.333333333332,4005.769230769231,570.6849315068494,0
59,2024,North America,United States,-95.7129,37.0902,US,M,US,Software Engineer,FT,MI,USD,138900,11575.0,2671.153846153846,380.54794520547944,0
60,2024,North America,Canada,-106.3468,56.1304,CA,M,CA,Site Reliability Engineer,FT,SE,USD,144500,12041.666666666666,2778.846153846154,395.8904109589041,0
61,2024,North America,Canada,-106.3468,56.1304,CA,M,CA,Site Reliability Engineer,FT,SE,USD,97000,8083.333333333333,1865.3846153846155,265.75342465753425,0
62,2024,North America,United States,-95.7129,37.0902,US,M,US,Research Scientist,FT,MI,USD,208000,17333.333333333332,4000.0,569.8630136986301,0
63,2024,North America,United States,-95.7129,37.0902,US,M,US,Research Scientist,FT,MI,USD,143000,11916.666666666666,2750.0,391.7808219178082,0
64,2024,North America,United States,-95.7129,37.0902,US,M,US,Software Engineer,FT,MI,USD,240240,20020.0,4620.0,658.1917808219179,0
65,2024,North America,United States,-95.7129,37.0902,US,M,US,Software Engineer,FT,MI,USD,214032,17836.0,4116.0,586.3890410958904,0
66,2024,North America,United States,-95.7129,37.0902,US,M,US,Solutions Engineer,FT,MI,USD,139000,11583.333333333334,2673.076923076923,380.82191780821915,0
67,2024,North America,United States,-95.7129,37.0902,US,M,US,Solutions Engineer,FT,MI,USD,94500,7875.0,1817.3076923076924,258.90410958904107,0
68,2024,North America,United States,-95.7129,37.0902,US,M,US,Research Scientist,FT,SE,USD,293000,24416.666666666668,5634.615384615385,802.7397260273973,0
69,2024,North America,United States,-95.7129,37.0902,US,M,US,Research Scientist,FT,SE,USD,213000,17750.0,4096.153846153846,583.5616438356165,0
70,2024,North America,United States,-95.7129,37.0902,US,M,US,Software Engineer,FT,SE,USD,204600,17050.0,3934.6153846153848,560.5479452054794,0
71,2024,North America,United States,-95.7129,37.0902,US,M,US,Software Engineer,FT,SE,USD,84500,7041.666666666667,1625.0,231.5068493150685,0
72,2024,Europe,United Kingdom,-3.436,55.3781,GB,M,GB,Data Scientist,FT,MI,GBP,43750,3645.8333333333335,841.3461538461538,119.86301369863014,0
73,2024,Europe,United Kingdom,-3.436,55.3781,GB,M,GB,Data Scientist,FT,MI,GBP,36250,3020.8333333333335,697.1153846153846,99.31506849315069,0
74,2024,North America,United States,-95.7129,37.0902,US,M,US,Software Engineer,FT,SE,USD,209169,17430.75,4022.480769230769,573.0657534246575,0
75,2024,North America,United States,-95.7129,37.0902,US,M,US,Software Engineer,FT,SE,USD,96038,8003.166666666667,1846.8846153846155,263.1178082191781,0
76,2024,North America,United States,-95.7129,37.0902,US,M,US,Machine Learning Engineer,FT,SE,USD,264500,22041.666666666668,5086.538461538462,724.6575342465753,100
77,2024,North America,United States,-95.7129,37.0902,US,M,US,Machine Learning Engineer,FT,SE,USD,165600,13800.0,3184.6153846153848,453.6986301369863,100
78,2024,North America,United States,-95.7129,37.0902,US,M,US,Software Engineer,FT,SE,USD,339250,28270.833333333332,6524.038461538462,929.4520547945206,0
79,2024,North America,United States,-95.7129,37.0902,US,M,US,Software Engineer,FT,SE,USD,180000,15000.0,3461.5384615384614,493.1506849315069,0
